Country,Continent,Least Developed,Life Expectancy,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita,High GDP per capita
Armenia,Asia,False,72.513,1.25303469,6.05508518,1320.437994,11.65465402,4616.180285,4.899008571,96.3722248,15.4,0.21848,False
Armenia,Asia,False,72.626,1.496010763,5.86188269,1440.32339,11.64734809,5458.089259,5.252983352,96.67127128,15.7,0.27547,False
Armenia,Asia,False,72.716,1.51776299,5.85007095,1521.50331,11.64004215,6418.636417,5.631787777,96.97262891,16.0,0.36122,False
Armenia,Asia,False,72.815,1.773161431,5.49814558,1639.79257,11.63273621,7560.868364,6.021253397,97.27617604,16.3,0.38343,False
Armenia,Asia,False,72.946,1.956930356,6.6397624,1773.161496,11.62543028,8308.414216,6.21,97.58203679,16.7,0.41888,False
Armenia,Asia,False,73.118,1.561583601,8.44377995,1669.409464,11.61812434,7231.220897,15.3,97.89011617,17.0,0.32738,False
Armenia,Asia,False,73.331,1.508351244,9.23539066,1661.303268,11.61081841,7507.144766,25.0,98.2004766,17.5,0.4,False
Armenia,Asia,False,73.572,1.71734338,9.37587833,1726.262758,11.60351247,8025.458485,32.0,98.51312626,17.9,0.34,False
Armenia,Asia,False,73.82,1.983192027,9.134552,1807.034572,11.59620653,9364.375299,37.5,98.82807295,18.5,0.25,False
Armenia,Asia,False,74.056,1.89812717,10.32344532,1892.006869,11.5889006,9835.802461,41.9,99.14571586,19.0,0.43,False
Armenia,Asia,False,74.273,1.881607737,10.17827034,1931.258117,11.58159466,10036.88984,54.62280586,99.44055835,19.6,0.52,False
Armenia,Asia,False,74.467,1.825292244,10.11763382,1961.610395,11.57428872,9969.664854,59.10083377,99.5525667,20.2,0.49,False
Australia,Oceania,False,79.23414634,17.7230721,7.61383343,10036.45778,17.15815576,26343.0767,46.75611561,99.71229832,21.0,5.07,True
Australia,Oceania,False,79.63414634,17.80456395,7.69622898,10193.91218,17.12863335,27439.82779,52.68926643,99.71124501,21.7,4.8,True
Australia,Oceania,False,79.93658537,17.9819247,7.89332151,10636.37769,17.09911094,28768.72863,60.564,99.71219332,22.3,4.97,True
Australia,Oceania,False,80.23902439,17.72168373,7.90449524,10813.12273,17.06958853,29807.40956,62.757,99.73436091,22.9,4.96,True
Australia,Oceania,False,80.4902439,18.17472687,8.10948753,10434.87439,17.04006613,31407.46145,62.814,99.75634373,23.5,4.57,True
Australia,Oceania,False,80.84146341,18.14629201,7.99008226,10554.81582,17.01054372,32653.40162,63.0,99.77814769,24.0,4.62,True
Australia,Oceania,False,81.04146341,18.14145349,7.98943853,10458.45019,16.98102131,34369.61939,66.0,99.79977738,24.6,4.63,True
Australia,Oceania,False,81.29268293,18.52109701,8.06755352,10490.48454,16.9514989,36599.85073,69.45,99.82125589,25.1,4.63,True
Australia,Oceania,False,81.39512195,18.30374802,8.25585651,10972.89174,16.92197649,37499.52513,71.67,99.84255603,25.7,4.69,True
Australia,Oceania,False,81.54390244,18.22309955,8.56316471,10749.11055,16.89245408,40281.79967,74.25,99.86367093,26.2,4.68,True
Australia,Oceania,False,81.69512195,17.59006927,8.4308424,10791.5931,16.86293167,39336.66348,76.0,99.88315015,26.7,4.51,True
Australia,Oceania,False,81.89512195,17.29541584,8.54153824,10726.92818,16.95531026,42003.15806,79.48769771,99.89196863,27.3,4.31,True
Australia,Oceania,False,82.04634146,17.02204223,8.67564774,10627.29387,17.04768884,42836.67186,79.0,99.90076728,27.9,4.14,True
Australia,Oceania,False,82.14878049,16.44231571,8.76116371,10407.74031,17.14006743,45906.44004,83.45349717,99.90958842,28.5,4.04,True
